n,m,p,t_miosqp_avg,t_miosqp_std,t_miosqp_max,t_gurobi_avg,t_gurobi_std,t_gurobi_max
10,5,2,7.755112648010254,18.848240112910105,64.29791450500488,2.546262741088867,1.4354033583348536,6.520986557006836
10,100,2,2.852153778076172,1.3237101577838004,6.392955780029297,11.807513236999512,4.635163680254452,21.76189422607422
50,25,5,5.114984512329102,1.5079320765233675,8.432865142822266,20.599842071533203,2.4507166242150173,25.330066680908203
50,200,10,51.20720863342285,30.524267619663203,134.7801685333252,110.29236316680908,14.79263175621856,147.78399467468262
100,50,2,6.453204154968262,1.2133793347051558,8.566856384277344,51.636576652526855,10.786330738727246,73.45795631408691
100,200,15,108.79626274108887,77.75122525192718,327.1970748901367,256.9490432739258,49.619988435893,389.4641399383545
150,100,5,38.321661949157715,15.02043071047879,63.562870025634766,263.8231039047241,36.55657153941754,336.0569477081299
150,300,20,337.60924339294434,166.2161166902793,698.4350681304932,1013.6537790298462,279.16491276872205,1634.3889236450195
