,T,grb_avg,grb_max,grb_min,grb_std,miosqp_avg,miosqp_avg_osqp_iter,miosqp_max,miosqp_min,miosqp_osqp_avg_time,miosqp_std
0,1,0.0005741161108016968,0.0014019012451171875,0.00043487548828125,0.0001447317394140357,0.00017611220479011536,19.744357638888893,0.001013040542602539,7.987022399902344e-05,13.376705115935229,0.00014237524915651178
1,2,0.0007662524282932282,0.0021588802337646484,0.0005609989166259766,0.00020374522754102877,0.00023764997720718384,25.56510416666666,0.001157999038696289,0.00010609626770019531,25.43037879754712,0.0001705894126034169
2,3,0.0009558819234371186,0.0029070377349853516,0.0006659030914306641,0.00029215025207772303,0.00029876381158828736,25.808830171904596,0.0018579959869384766,0.0001277923583984375,33.5544263776502,0.00021933749644598166
3,4,0.0011919739842414857,0.004647970199584961,0.0007910728454589844,0.0004105616463590366,0.00036928310990333555,26.6133733028648,0.0017020702362060547,0.00015282630920410156,42.30327562507725,0.00027122546705590084
4,5,0.0017565713822841644,0.006948947906494141,0.0009710788726806641,0.0008641164036952435,0.0005726170539855957,30.99985391347512,0.0027360916137695312,0.00018405914306640625,49.84000814639883,0.00043590450857340884
